Traits,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour,Fruit Colour,Fruit Colour,Crown,Crown,Crown,Fruit Size,Fruit Size,Fruit Size,Fruit Shape,Fruit Shape,Fruit Shape,Conspicuousness,Conspicuousness,Conspicuousness,Measurement,Measurement,Measurement
Species,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1
Bactris grayumii,0.625,0.95,0.6736842105263159,0.625,0.8636363636363636,0.6210526315789474,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bactris kunorum,0.7,0.9482758620689655,0.7584415584415585,0.7,0.85,0.6974789915966386,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bactris longiseta,0.6428571428571428,0.9137931034482758,0.6750524109014675,0.6428571428571428,0.75,0.5555555555555556,nan,nan,nan,0.0,0.0,0.0,1.0,1.0,1.0,nan,nan,nan
Bactris major,0.7,0.9482758620689655,0.7584415584415585,0.75,0.9,0.7777777777777778,nan,nan,nan,nan,nan,nan,0.4166666666666667,0.4166666666666667,0.4166666666666667,nan,nan,nan
Bactris oligocarpa,0.6428571428571428,0.9137931034482758,0.6750524109014675,0.6428571428571428,0.75,0.5555555555555556,nan,nan,nan,0.25,0.5,0.3333333333333333,1.0,1.0,1.0,nan,nan,nan
Bactris pilosa,0.6666666666666666,0.9310344827586207,0.712962962962963,0.6666666666666666,0.8,0.625,nan,nan,nan,0.25,0.5,0.3333333333333333,1.0,1.0,1.0,nan,nan,nan
Bactris ptariana,0.6428571428571428,0.9137931034482758,0.6750524109014675,0.6428571428571428,0.75,0.5555555555555556,nan,nan,nan,0.0,0.0,0.0,1.0,1.0,1.0,nan,nan,nan
Bactris setosa,0.6666666666666666,0.9310344827586207,0.712962962962963,0.6666666666666666,0.8,0.625,nan,nan,nan,0.25,0.5,0.3333333333333333,0.4166666666666667,0.4166666666666667,0.4166666666666667,nan,nan,nan
Bactris turbinocarpa,0.5833333333333334,0.9166666666666667,0.5974025974025974,0.5833333333333334,0.7727272727272727,0.49579831932773105,nan,nan,nan,0.25,0.5,0.3333333333333333,1.0,1.0,1.0,nan,nan,nan
Balaka seemannii,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,nan,nan,nan,0.4166666666666667,0.4166666666666667,0.4166666666666667,1.0,1.0,1.0
Balaka streptostachys,0.9833333333333334,0.75,0.8248587570621468,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,nan,nan,nan
Basselinia pancheri,0.625,0.95,0.6736842105263159,0.75,0.9545454545454546,0.8095238095238095,nan,nan,nan,nan,nan,nan,0.4166666666666667,0.4166666666666667,0.4166666666666667,nan,nan,nan
Basselinia tomentosa,0.6666666666666666,0.9666666666666667,0.7327586206896552,0.6666666666666666,0.9090909090909092,0.7,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan
Bismarckia nobilis,0.6666666666666666,0.9666666666666667,0.7327586206896552,0.75,0.9545454545454546,0.8095238095238095,nan,nan,nan,nan,nan,nan,0.4166666666666667,0.4166666666666667,0.4166666666666667,nan,nan,nan
Brassiophoenix schumannii,nan,nan,nan,0.8333333333333333,0.95,0.8736842105263158,nan,nan,nan,nan,nan,nan,0.4166666666666667,0.4166666666666667,0.4166666666666667,nan,nan,nan
Butia paraguayensis,nan,nan,nan,0.45454545454545453,0.45454545454545453,0.45454545454545453,nan,nan,nan,1.0,1.0,1.0,0.4166666666666667,0.4166666666666667,0.4166666666666667,nan,nan,nan
Butia yatay,0.5833333333333334,0.9166666666666667,0.5974025974025974,0.6666666666666666,0.9090909090909092,0.7,nan,nan,nan,0.0,0.0,0.0,0.4,0.3333333333333333,0.3636363636363636,nan,nan,nan
Calyptrogyne anomala,0.6666666666666666,0.9666666666666667,0.7327586206896552,0.75,0.9545454545454546,0.8095238095238095,nan,nan,nan,nan,nan,nan,0.4166666666666667,0.4166666666666667,0.4166666666666667,nan,nan,nan
Calyptronoma rivalis,0.75,0.9833333333333334,0.8248587570621468,1.0,1.0,1.0,nan,nan,nan,1.0,1.0,1.0,0.4166666666666667,0.4166666666666667,0.4166666666666667,nan,nan,nan
Chamaedorea allenii,0.7,0.9482758620689655,0.7584415584415585,0.6,0.8181818181818181,0.5555555555555556,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan
Chamaedorea angustisecta,0.75,0.9833333333333334,0.8248587570621468,0.75,0.9545454545454546,0.8095238095238095,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.9166666666666667,0.7878787878787878,nan,nan,nan
Chamaedorea costaricana,0.6666666666666666,0.9310344827586207,0.712962962962963,0.625,0.8636363636363636,0.6210526315789474,0.25,0.25,0.25,nan,nan,nan,0.75,0.9166666666666667,0.7878787878787878,nan,nan,nan
Chamaedorea deneversiana,0.5714285714285714,0.9,0.5694444444444444,0.6,0.8181818181818181,0.5555555555555556,1.0,1.0,1.0,1.0,1.0,1.0,0.4166666666666667,0.4166666666666667,0.4166666666666667,nan,nan,nan
Chamaedorea elegans,0.6666666666666666,0.9666666666666667,0.7327586206896552,0.75,0.9545454545454546,0.8095238095238095,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Chamaedorea ernesti-augusti,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4166666666666667,0.4166666666666667,0.4166666666666667,nan,nan,nan
Chamaedorea klotzschiana,0.6,0.9333333333333333,0.6309523809523809,0.625,0.8636363636363636,0.6210526315789474,1.0,1.0,1.0,nan,nan,nan,0.75,0.9166666666666667,0.7878787878787878,nan,nan,nan
Chamaedorea lucidifrons,0.8333333333333333,0.9827586206896552,0.8912280701754386,0.8333333333333333,0.95,0.8736842105263158,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.9166666666666667,0.7878787878787878,1.0,1.0,1.0
Chamaedorea macrospadix,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Chamaedorea metallica,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,1.0,1.0,1.0,0.4166666666666667,0.4166666666666667,0.4166666666666667,nan,nan,nan
Chamaedorea oblongata,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.4,0.3333333333333333,0.3636363636363636,nan,nan,nan
Chamaedorea oreophila,0.8154761904761905,0.8154761904761905,0.8154761904761905,0.8333333333333333,0.95,0.8736842105263158,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.3333333333333333,0.3636363636363636,nan,nan,nan
