Species,All Traits, , ,Without N/As,,,N/A Percentage
 ,Precision,Recall,F1-Score,Precision,Recall,F1-Score, 
Afzelia africana,0.72883295194508,0.6531862745098039,0.6730821360802386,0.7634638922888617,0.7440476190476191,0.7529411764705882,0.21739130434782608
Agave sisalana,0.55,0.9661654135338346,0.5733993632826317,0.55,0.9296875,0.5530939648586708,0.5652173913043478
Albizia adianthifolia,0.7768939393939394,0.7150000000000001,0.7359605911330049,0.8035337552742616,0.7951282051282051,0.7991680748732615,0.21739130434782608
Albizia chevalieri,0.7385057471264367,0.6464705882352941,0.665954415954416,0.7849462365591398,0.7849462365591398,0.7849462365591398,0.391304347826087
Albizia coriaria,0.7945080091533181,0.7015346069527091,0.7295412844036697,0.8086384439359268,0.7509302325581395,0.7732379979570991,0.17391304347826086
Albizia glaberrima,0.7648305084745763,0.6370614035087719,0.652128764278297,0.7916666666666667,0.7037422037422038,0.72875226039783,0.30434782608695654
Albizia lebbeck,0.7285087719298246,0.6503607503607504,0.6682885189927443,0.7336021505376344,0.6744979919678715,0.6918181818181818,0.17391304347826086
Albizia malacophylla,0.8450980392156863,0.6811764705882353,0.7127947069238654,0.8675438596491228,0.7679028132992327,0.8004385964912282,0.34782608695652173
Albizia zygia,0.7785087719298245,0.6769295068264141,0.6991768520828135,0.8107142857142857,0.7746212121212122,0.7894385026737967,0.30434782608695654
Alchornea cordifolia,0.8262946204122674,0.6908823529411765,0.7215144122164995,0.8663101604278074,0.8261904761904761,0.8434946574481458,0.34782608695652173
Allophylus africanus,0.7817796610169492,0.6564705882352941,0.6803669724770642,0.8333333333333333,0.8190428713858424,0.8258212375859434,0.43478260869565216
Anacardium occidentale,0.829978813559322,0.6951143125587222,0.7290844324636565,0.8683712121212122,0.8376736111111112,0.8515837104072397,0.43478260869565216
Ancylobotrys amoena,0.8274193548387097,0.6445868945868947,0.6791187739463602,0.875,0.875,0.8750000000000001,0.6086956521739131
Andira inermis,0.8321678321678322,0.6567656765676567,0.6850763807285546,0.8762019230769231,0.8068627450980392,0.8344086021505377,0.43478260869565216
Annona senegalensis,0.706547619047619,0.620110764970578,0.6400558719243581,0.7388392857142857,0.7388392857142857,0.7388392857142857,0.43478260869565216
Annona squamosa,0.7760180995475113,0.6759615384615385,0.7032829498411477,0.7941176470588236,0.7615384615384615,0.7754521438731965,0.34782608695652173
Anogeissus leiocarpus,0.8239033693579147,0.6470418470418471,0.6700757575757575,0.8548951048951049,0.7580508474576271,0.7893333333333334,0.43478260869565216
Anthocleista procera,0.8846153846153846,0.5588235294117647,0.540045766590389,0.9473684210526316,0.8333333333333333,0.8722222222222222,0.8260869565217391
Antidesma venosum,0.7839796318057187,0.7054988662131519,0.7283269807801476,0.7893183038110574,0.7427927927927929,0.7594643944004869,0.21739130434782608
Aphania senegalensis,0.7411290322580645,0.5879411764705882,0.5921266233766234,0.776829268292683,0.7297570850202428,0.7473858007705008,0.6086956521739131
Azadirachta indica,0.7742424242424242,0.7377668308702792,0.7530495831505046,0.780448717948718,0.7566923359002566,0.7673840267814444,0.043478260869565216
Baissea multiflora,0.8053571428571429,0.6571691176470589,0.6850763807285547,0.8819875776397516,0.9270833333333333,0.9018003273322422,0.5652173913043478
Balanites aegyptiaca,0.7578947368421052,0.6696969696969697,0.6911651728553136,0.7985294117647059,0.7885572139303483,0.7933152664859981,0.391304347826087
Bauhinia rufescens,0.8485169491525424,0.6898989898989899,0.7215144122164996,0.8617424242424243,0.7744252873563219,0.8016129032258065,0.43478260869565216
Berlinia grandiflora,0.7200520833333333,0.5507050705070506,0.5348785130444519,0.7761904761904761,0.7196969696969697,0.7415966386554622,0.7391304347826086
Blighia sapida,0.8139768728004022,0.7050903119868637,0.7375636506071289,0.8317200297840655,0.7828571428571429,0.8031442241968558,0.2608695652173913
Bombax costatum,0.8199233716475096,0.7141025641025641,0.7462121212121212,0.8376068376068376,0.7911547911547911,0.8105263157894738,0.2608695652173913
Borassus aethiopum,0.5625,0.9736842105263157,0.5975975975975976,0.5625,0.9078947368421053,0.5603864734299516,0.6521739130434783
Borassus sp. aff. Flabellifer,0.5454545454545454,0.9624060150375939,0.5638020833333334,0.5454545454545454,0.9166666666666667,0.5378787878787878,0.5217391304347826
Boscia angustifolia,0.8700280112044818,0.6840345500139315,0.7136752136752138,0.8963541666666667,0.7954192546583851,0.8267543859649122,0.391304347826087
