Traits,plant type,plant type,plant type,phyllotaxis,phyllotaxis,phyllotaxis,trunk and root,trunk and root,trunk and root,latex,latex,latex,crown,crown,crown,stem shape,stem shape,stem shape,bark,bark,bark,bark color,bark color,bark color,leaf shape,leaf shape,leaf shape,petiole,petiole,petiole,leaf blade,leaf blade,leaf blade,leaf margin,leaf margin,leaf margin,leaf base,leaf base,leaf base,leaf apex,leaf apex,leaf apex,vein,vein,vein,tendril,tendril,tendril,spine,spine,spine,blade color,blade color,blade color,fruit,fruit,fruit,inflorescences,inflorescences,inflorescences,sexuality,sexuality,sexuality,flower color,flower color,flower color,flower shape,flower shape,flower shape
Species,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1
Afzelia africana,0.9285714285714286,0.75,0.7948717948717948,0.25,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,1.0,1.0,1.0,0.9,0.75,0.7777777777777778,0.9285714285714286,0.75,0.7948717948717948,1.0,1.0,1.0,0.5,0.4166666666666667,0.45454545454545453,nan,nan,nan,0.3333333333333333,0.3333333333333333,0.3333333333333333,nan,nan,nan,nan,nan,nan,0.375,0.375,0.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.42857142857142855,0.42857142857142855,0.42857142857142855
Agave sisalana,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5,0.45,0.4736842105263158,0.5,0.4166666666666667,0.45454545454545453,0.5,0.45,0.4736842105263158,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5,0.25,0.3333333333333333,nan,nan,nan,0.5,0.25,0.3333333333333333,0.5,0.42857142857142855,0.4615384615384615,0.5,0.45,0.4736842105263158,0.5,0.25,0.3333333333333333,nan,nan,nan,0.5,0.4375,0.4666666666666667
Albizia adianthifolia,0.9285714285714286,0.75,0.7948717948717948,1.0,1.0,1.0,0.875,0.75,0.7619047619047619,nan,nan,nan,0.9,0.75,0.7777777777777778,1.0,1.0,1.0,0.625,0.625,0.625,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.375,0.375,0.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3888888888888889,0.4375,0.411764705882353,1.0,1.0,1.0,0.41666666666666663,0.41666666666666663,0.4,1.0,1.0,1.0
Albizia chevalieri,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,nan,nan,nan,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.5,0.3333333333333333,0.4,nan,nan,nan,nan,nan,nan,0.3333333333333333,0.3333333333333333,0.3333333333333333,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5952380952380952,0.625,0.6,0.5,0.25,0.3333333333333333,0.25,0.3333333333333333,0.28571428571428575,0.9285714285714286,0.75,0.7948717948717948
Albizia coriaria,0.9285714285714286,0.75,0.7948717948717948,1.0,1.0,1.0,nan,nan,nan,0.4,0.4,0.4000000000000001,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.75,0.7777777777777778,0.9285714285714286,0.75,0.7948717948717948,1.0,1.0,1.0,0.5,0.4166666666666667,0.45454545454545453,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9166666666666667,0.75,0.7878787878787878,0.375,0.375,0.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3888888888888889,0.4375,0.411764705882353,1.0,1.0,1.0,0.875,0.75,0.7619047619047619,0.35714285714285715,0.4166666666666667,0.3846153846153846
Albizia glaberrima,0.9285714285714286,0.75,0.7948717948717948,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.6666666666666666,0.625,0.9285714285714286,0.75,0.7948717948717948,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.5,0.4166666666666667,0.45454545454545453,0.8333333333333333,0.625,0.6000000000000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3888888888888889,0.4375,0.411764705882353,1.0,1.0,1.0,0.75,0.6666666666666666,0.5833333333333333,0.35714285714285715,0.4166666666666667,0.3846153846153846
Albizia lebbeck,0.9285714285714286,0.75,0.7948717948717948,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.2,0.3333333333333333,0.25,0.42857142857142855,0.42857142857142855,0.42857142857142855,1.0,1.0,1.0,0.5,0.3333333333333333,0.4,0.8888888888888888,0.6666666666666666,0.6875,nan,nan,nan,0.16666666666666666,0.25,0.2,0.9166666666666667,0.75,0.7878787878787878,0.25,0.3333333333333333,0.28571428571428575,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3888888888888889,0.4375,0.411764705882353,1.0,1.0,1.0,0.75,0.6666666666666666,0.5833333333333333,0.9285714285714286,0.75,0.7948717948717948
Albizia malacophylla,0.9285714285714286,0.75,0.7948717948717948,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.9,0.75,0.7777777777777778,0.9285714285714286,0.75,0.7948717948717948,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.5,0.4166666666666667,0.45454545454545453,0.8888888888888888,0.6666666666666666,0.6875,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,0.75,0.6666666666666666,0.5833333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,0.875,0.75,0.7619047619047619,0.9285714285714286,0.75,0.7948717948717948
Albizia zygia,0.9285714285714286,0.75,0.7948717948717948,1.0,1.0,1.0,0.875,0.75,0.7619047619047619,nan,nan,nan,0.9,0.75,0.7777777777777778,1.0,1.0,1.0,0.25,0.25,0.25,0.8333333333333333,0.75,0.7333333333333334,1.0,1.0,1.0,0.5,0.3333333333333333,0.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3888888888888889,0.4375,0.411764705882353,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan
Alchornea cordifolia,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,1.0,1.0,1.0,0.8333333333333333,0.75,0.7333333333333334,0.3333333333333333,0.4,0.3636363636363636,0.375,0.375,0.375,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,0.9444444444444444,0.75,0.803921568627451,1.0,1.0,1.0,0.375,0.375,0.375,1.0,1.0,1.0
